City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.53,20.04,64.4,68,100,4.7,ZA,1603655086
Wagar,16.15,36.2,88.86,32,32,11.74,SD,1603655086
Bira,49.0,132.47,34.07,88,0,3.56,RU,1603655086
Jamestown,42.1,-79.24,46.0,63,90,10.29,US,1603654935
Naze,28.37,129.48,64.4,88,90,3.36,JP,1603655071
Tiksi,71.69,128.87,4.69,90,100,30.51,RU,1603655087
Cape Town,-33.93,18.42,63.0,82,20,16.11,ZA,1603655010
Ushuaia,-54.8,-68.3,51.8,50,40,3.36,AR,1603655023
Grindavik,63.84,-22.43,42.8,87,75,10.29,IS,1603655088
Yellowknife,62.46,-114.35,28.4,74,75,8.05,CA,1603654842
Wanning,18.8,110.4,75.99,92,100,4.92,CN,1603655068
Yenagoa,4.92,6.26,76.55,91,58,3.71,NG,1603655088
Kongolo,-5.38,27.0,72.0,92,100,5.12,CD,1603655088
Albany,42.6,-73.97,50.0,42,0,5.39,US,1603655089
Belmonte,-15.86,-38.88,78.8,78,75,12.75,BR,1603655089
Krasnosel'kup,65.7,82.47,4.48,94,0,9.37,RU,1603655089
Pevek,69.7,170.31,26.78,97,100,7.36,RU,1603655089
Rikitea,-23.12,-134.97,73.81,80,100,19.08,PF,1603655019
Ugoofaaru,5.67,73.0,81.55,76,99,10.22,MV,1603655090
Ribeira Grande,38.52,-28.7,66.2,77,75,3.36,PT,1603655090
Morón,-34.65,-58.62,73.0,94,75,5.82,AR,1603654925
Puerto Ayora,-0.74,-90.35,78.8,69,40,20.8,EC,1603655090
Port Alfred,-33.59,26.89,65.71,80,93,2.55,ZA,1603655091
Guatire,10.48,-66.54,79.0,67,78,1.01,VE,1603655091
Talakan,50.32,130.37,32.92,94,0,2.95,RU,1603655091
Kapaa,22.08,-159.32,82.99,83,40,3.62,US,1603655091
Busselton,-33.65,115.33,55.0,64,0,0.43,AU,1603655035
Barrow,71.29,-156.79,26.6,73,90,3.36,US,1603655092
Abu Samrah,35.3,37.18,68.77,24,6,6.44,SY,1603655092
Pingzhuang,42.04,119.29,44.87,54,94,3.44,CN,1603655092
College,64.86,-147.8,28.99,85,75,3.42,US,1603654967
East London,-33.02,27.91,67.42,71,97,2.75,ZA,1603655093
Vaini,-21.2,-175.2,69.8,100,90,9.17,TO,1603655093
Mataura,-46.19,168.86,46.99,97,99,2.15,NZ,1603654839
Qaanaaq,77.48,-69.36,12.72,80,100,12.08,GL,1603655093
Manitouwadge,49.12,-85.84,30.2,50,90,3.36,CA,1603655093
Santa Rosa,14.31,121.11,77.0,94,90,13.87,PH,1603655094
Punta Arenas,-53.15,-70.92,44.6,81,40,8.05,CL,1603655013
Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,100,90,3.69,RU,1603655019
Padang,-0.95,100.35,78.15,72,100,3.42,ID,1603655094
Adrar,20.5,-10.07,91.27,11,15,7.23,MR,1603655094
Castro,-24.79,-50.01,72.75,72,1,2.77,BR,1603655044
Labuhan,-6.88,112.21,79.52,83,99,8.81,ID,1603655095
Ballina,-28.87,153.57,64.4,93,90,4.7,AU,1603655095
Codrington,-38.27,141.97,47.46,71,1,14.79,AU,1603655095
Cuyamel,15.67,-88.2,86.0,78,90,4.7,HN,1603655095
Mar del Plata,-38.0,-57.56,63.0,100,90,3.36,AR,1603655095
Hampton,37.03,-76.35,64.0,100,90,13.87,US,1603655096
Bluff,-46.6,168.33,46.99,97,36,8.86,NZ,1603655021
Qeshm,26.96,56.27,73.4,35,0,6.93,IR,1603655096
Alofi,-19.06,-169.92,75.69,82,100,17.72,NU,1603654809
Tasiilaq,65.61,-37.64,32.0,98,100,1.12,GL,1603655096
Aswān,24.09,32.91,76.78,29,0,13.31,EG,1603655097
Loa Janan,-0.58,117.09,74.39,96,100,1.45,ID,1603655097
Vila,42.03,-8.16,45.0,94,100,5.35,PT,1603655097
Conde,-7.26,-34.91,80.6,78,40,11.41,BR,1603654900
Cayenne,4.93,-52.33,89.6,55,0,11.41,GF,1603655097
Isangel,-19.55,169.27,75.85,74,7,10.76,VU,1603655097
Waingapu,-9.66,120.26,78.69,78,100,4.07,ID,1603655098
Norman Wells,65.28,-126.83,21.2,92,75,8.37,CA,1603655098
Bethel,41.37,-73.41,53.01,48,40,5.82,US,1603655098
Sitka,57.05,-135.33,42.8,75,90,12.75,US,1603655099
Eureka,40.8,-124.16,57.0,76,75,5.82,US,1603655024
Cabo San Lucas,22.89,-109.91,93.2,49,20,3.36,MX,1603655084
Vardø,70.37,31.11,37.4,69,75,18.34,NO,1603655099
Kerrville,30.05,-99.14,78.8,65,90,13.87,US,1603655099
Avera,33.19,-82.53,80.01,78,90,4.7,US,1603655100
Penzance,50.12,-5.54,48.2,76,40,8.05,GB,1603655100
Moram,17.8,76.47,72.99,78,62,7.18,IN,1603655100
São João da Barra,-21.64,-41.05,71.6,94,90,9.17,BR,1603655101
Carnarvon,-24.87,113.63,69.8,88,75,17.22,AU,1603655101
Dikson,73.51,80.55,18.12,97,100,13.71,RU,1603655101
Shelburne,44.08,-80.2,46.99,60,20,5.82,CA,1603655101
Nome,64.5,-165.41,37.4,86,90,4.7,US,1603654835
Hofn,64.25,-15.21,43.93,77,100,13.44,IS,1603655102
Port Keats,-14.25,129.55,81.57,84,40,8.19,AU,1603655102
Port Elizabeth,-33.92,25.57,62.6,100,100,6.93,ZA,1603655102
Amarante do Maranhão,-5.57,-46.74,86.27,57,100,6.55,BR,1603655103
Chokurdakh,70.63,147.92,6.03,93,0,9.89,RU,1603655103
Havøysund,71.0,24.66,33.8,74,20,39.15,NO,1603655103
Motygino,58.18,94.76,23.47,90,96,3.15,RU,1603655104
Daru,-9.08,143.21,76.78,90,63,6.24,PG,1603655105
Kruisfontein,-34.0,24.73,62.01,90,100,10.67,ZA,1603655105
Verkhnevilyuysk,63.45,120.32,19.78,96,100,8.3,RU,1603655105
Alenquer,-1.94,-54.74,93.2,46,20,8.05,BR,1603655105
Leningradskiy,69.38,178.42,23.5,89,49,6.11,RU,1603655105
Caravelas,-17.71,-39.25,73.62,96,100,6.44,BR,1603655106
Hirara,24.8,125.28,75.42,67,99,14.97,JP,1603655076
Bandarbeyla,9.49,50.81,76.24,78,1,12.71,SO,1603655106
Souillac,-20.52,57.52,75.2,73,75,14.99,MU,1603655106
Lethem,3.38,-59.8,94.59,41,72,6.4,GY,1603655107
Hithadhoo,-0.6,73.08,82.98,71,27,5.39,MV,1603655028
Sørland,67.67,12.69,44.6,87,75,16.11,NO,1603655107
Hamamatsu,34.7,137.73,57.0,71,100,3.0,JP,1603654809
Katobu,-4.94,122.53,75.16,87,93,2.17,ID,1603655107
Perth,-31.93,115.83,66.0,67,0,6.93,AU,1603655102
Sawtell,-30.38,153.1,62.6,93,90,5.82,AU,1603655108
Sayyan,15.17,44.32,52.9,33,1,3.47,YE,1603655108
Dillon,34.42,-79.37,69.8,100,90,10.29,US,1603655108
North Bend,43.41,-124.22,60.01,40,1,10.29,US,1603655108
San Estanislao,10.4,-75.15,86.0,74,75,9.17,CO,1603655109
Provost,52.35,-110.27,25.5,70,2,11.12,CA,1603655109
Ponta do Sol,32.67,-17.1,68.0,68,20,3.36,PT,1603655109
Touros,-5.2,-35.46,84.2,70,40,16.11,BR,1603655109
Half Moon Bay,37.46,-122.43,64.99,72,75,5.82,US,1603655110
Hobart,-42.88,147.33,46.4,70,75,6.93,AU,1603655110
Mongoumba,3.64,18.59,72.63,92,99,1.52,CF,1603655110
Coari,-4.08,-63.14,83.28,70,80,4.52,BR,1603655110
Bålsta,59.57,17.53,53.01,93,75,14.99,SE,1603655111
Oranjemund,-28.55,16.43,59.16,84,35,18.75,NA,1603655111
Nicoya,10.15,-85.45,78.8,94,75,3.36,CR,1603655102
Kumul,42.8,93.45,37.6,69,2,4.23,CN,1603655111
Salalah,17.02,54.09,77.0,57,0,5.82,OM,1603655112
Thompson,55.74,-97.86,26.6,53,90,13.87,CA,1603655112
Thoen,17.61,99.22,72.48,91,100,1.05,TH,1603655112
Khatanga,71.97,102.5,6.35,95,90,9.93,RU,1603655112
Butaritari,3.07,172.79,81.09,70,62,9.17,KI,1603655113
Chase,50.82,-119.69,30.99,64,100,1.32,CA,1603655113
Egersund,58.45,6.0,48.0,98,46,15.82,NO,1603655113
Lebu,-37.62,-73.65,54.16,59,0,9.62,CL,1603655113
Cidreira,-30.18,-50.21,70.41,84,3,22.32,BR,1603655114
Jackson,42.42,-122.83,54.0,21,1,8.05,US,1603654984
Qandala,11.47,49.87,78.33,41,100,5.91,SO,1603655114
Te Anau,-45.42,167.72,43.59,87,100,5.17,NZ,1603655114
Port Hedland,-20.32,118.57,69.8,94,100,9.17,AU,1603654877
Lagoa,39.05,-27.98,64.09,63,23,6.04,PT,1603655115
Muros,42.78,-9.06,48.99,89,98,1.01,ES,1603655115
Najrān,17.49,44.13,68.0,15,0,1.16,SA,1603655115
Nikolskoye,59.7,30.79,42.8,87,90,4.47,RU,1603655115
Cam Ranh,11.92,109.16,78.8,88,75,3.36,VN,1603655116
Salamiyah,35.01,37.05,63.95,28,0,2.24,SY,1603655116
Ishigaki,24.34,124.16,76.12,66,100,13.8,JP,1603655116
Upernavik,72.79,-56.15,13.87,76,63,4.18,GL,1603655117
Yar-Sale,66.83,70.83,11.88,96,70,9.93,RU,1603655117
Hermanus,-34.42,19.23,62.01,78,98,1.99,ZA,1603655117
Wewak,-3.55,143.63,79.39,80,100,6.58,PG,1603655118
Hilo,19.73,-155.09,82.4,74,40,5.82,US,1603655118
Ola,59.58,151.28,36.73,79,100,9.78,RU,1603655118
Eldorado,-23.79,-54.28,88.41,49,86,1.95,BR,1603655119
Alice Springs,-23.7,133.88,59.0,38,0,9.17,AU,1603654895
Kochubey,44.39,46.58,61.25,63,71,6.91,RU,1603655119
New Norfolk,-42.78,147.06,41.0,71,3,1.77,AU,1603655119
Requena,39.49,-1.1,55.99,64,100,5.01,ES,1603655120
George Town,5.41,100.34,77.0,94,40,2.24,MY,1603655049
Saint Paul Harbor,57.79,-152.41,48.2,87,90,19.46,US,1603655120
Whitianga,-36.83,175.7,64.99,94,0,3.0,NZ,1603655120
Saint George,37.1,-113.58,73.0,30,53,18.34,US,1603655002
Cherskiy,68.75,161.3,13.01,96,100,1.16,RU,1603655120
Saldanha,-33.01,17.94,60.8,72,47,9.17,ZA,1603655121
Kralendijk,12.15,-68.27,89.6,62,75,17.22,BQ,1603655121
Turukhansk,65.82,87.98,2.86,93,57,5.64,RU,1603655121
Kailua,21.4,-157.74,82.99,78,90,4.7,US,1603655121
São Filipe,14.9,-24.5,83.1,60,90,17.52,CV,1603655122
Vaitape,-16.52,-151.75,80.85,67,0,4.68,PF,1603655122
Bitung,1.45,125.18,75.2,94,40,8.99,ID,1603655122
Nerchinskiy Zavod,51.31,119.61,29.03,93,100,0.67,RU,1603655123
Itarema,-2.92,-39.92,82.29,70,90,18.39,BR,1603655123
Paciran,-6.88,112.38,80.02,81,99,5.53,ID,1603655123
Faanui,-16.48,-151.75,80.02,69,0,4.61,PF,1603655123
Galle,6.04,80.22,79.21,85,100,7.58,LK,1603655123
Bukama,-9.2,25.85,77.81,55,32,2.42,CD,1603655124
Vestmannaeyjar,63.44,-20.27,42.8,81,75,2.24,IS,1603655124
Port Macquarie,-31.43,152.92,61.0,92,95,1.99,AU,1603655124
Manggar,-2.88,108.27,80.94,81,100,6.31,ID,1603655125
Saint-Philippe,-21.36,55.77,69.8,73,0,6.93,RE,1603654838
Birao,10.28,22.79,81.88,35,93,2.98,CF,1603655125
Altay,47.87,88.12,26.6,72,51,1.88,CN,1603655076
Avarua,-21.21,-159.78,73.4,83,49,13.87,CK,1603655125
Arraial do Cabo,-22.97,-42.03,73.4,78,75,5.82,BR,1603655126
Mawlaik,23.63,94.42,73.0,93,50,1.57,MM,1603655126
Batagay-Alyta,67.8,130.41,6.94,85,4,5.5,RU,1603655126
Bilma,18.69,12.92,75.34,19,0,5.82,NE,1603655126
Cockburn Town,21.46,-71.14,83.48,77,100,25.32,TC,1603655077
Marsh Harbour,26.54,-77.06,79.56,78,100,14.38,BS,1603655127
Waipawa,-41.41,175.52,61.0,93,89,21.92,NZ,1603655127
Wukari,7.85,9.78,78.53,71,96,2.66,NG,1603655073
Mayo,38.89,-76.51,50.0,100,90,4.7,US,1603655127
Nouadhibou,20.93,-17.03,75.2,64,100,12.75,MR,1603655128
Atuona,-9.8,-139.03,78.93,74,0,20.0,PF,1603655128
Saint-Pierre,-21.34,55.48,69.8,73,0,5.82,RE,1603655128
Maputo,-25.97,32.59,75.99,83,0,12.75,MZ,1603654966
Airai,-8.93,125.41,61.59,100,97,1.34,TL,1603655129
Flinders,-34.58,150.86,57.0,87,100,7.0,AU,1603655129
Haines Junction,60.75,-137.51,28.99,90,100,1.41,CA,1603655129
Indramayu,-6.33,108.32,81.09,77,100,3.33,ID,1603655129
Santa Maria,-29.68,-53.81,86.67,55,99,3.76,BR,1603654900
Palmital,-22.79,-50.22,87.44,43,88,7.74,BR,1603655130
Makakilo City,21.35,-158.09,82.4,69,1,3.36,US,1603655130
Baia,47.42,26.22,54.0,93,75,6.93,RO,1603655130
Boali,4.8,18.13,72.82,89,98,1.36,CF,1603655131
Tuatapere,-46.13,167.68,46.99,97,82,5.7,NZ,1603655131
Leningradskaya,46.32,39.39,58.91,73,100,6.58,RU,1603655132
Tangará,-6.2,-35.8,84.2,70,40,16.11,BR,1603655132
Amga,60.9,131.96,7.21,91,0,2.42,RU,1603655132
Coquimbo,-29.95,-71.34,66.2,55,0,16.11,CL,1603654917
Magdagachi,53.45,125.8,28.33,97,48,2.1,RU,1603655132
Shingū,33.73,135.98,52.16,69,85,5.35,JP,1603655133
Walvis Bay,-22.96,14.51,60.8,77,0,5.82,NA,1603655133
Acaraú,-2.89,-40.12,83.05,69,73,20.24,BR,1603655055
Vilyuysk,63.76,121.62,18.34,96,100,8.88,RU,1603655133
Mahibadhoo,3.78,72.97,82.26,78,100,8.77,MV,1603655134
Berlevåg,70.86,29.09,33.8,86,75,14.99,NO,1603655134
Bermejo,-32.88,-68.8,60.8,55,75,9.17,AR,1603655134
Chui,-33.7,-53.46,71.56,79,100,15.39,UY,1603655134
Innisfail,-17.53,146.03,72.84,89,27,2.48,AU,1603655134
San Vicente,-26.62,-54.13,92.28,28,23,1.23,AR,1603655135
Pavelets,53.79,39.25,46.99,87,83,1.01,RU,1603655135
Keti Bandar,24.14,67.45,78.3,54,0,7.07,PK,1603655135
Iqaluit,63.75,-68.51,8.6,84,20,8.05,CA,1603655136
Kavieng,-2.57,150.8,81.82,74,100,1.81,PG,1603655136
Chon Buri,13.3,101.3,84.0,59,61,1.36,TH,1603655136
Podosinovets,60.28,47.07,30.42,98,89,6.69,RU,1603655136
Bambous Virieux,-20.34,57.76,75.2,73,75,14.99,MU,1603655136
Bilibino,68.05,166.44,14.85,92,98,2.15,RU,1603655137
Moree,-29.47,149.85,50.0,100,0,3.62,AU,1603655137
Bereda,43.27,-7.54,45.0,97,72,8.99,ES,1603655137
Poum,-20.23,164.02,76.51,75,30,17.18,NC,1603655137
Hasaki,35.73,140.83,50.0,100,75,4.54,JP,1603655138
Hong Kong,22.29,114.16,75.0,80,100,4.0,HK,1603654992
Beringovskiy,63.05,179.32,29.8,94,58,3.38,RU,1603655138
Shakiso,5.75,38.92,60.69,93,97,1.07,ET,1603655138
Husavik,66.04,-17.34,42.8,81,75,9.17,IS,1603655139
Nuuk,64.18,-51.72,26.6,79,100,12.75,GL,1603655139
Mossamedes,-15.2,12.15,68.83,79,52,4.65,AO,1603655055
Lompoc,34.64,-120.46,66.2,59,90,9.17,US,1603655092
Skibbereen,51.55,-9.27,42.8,87,20,10.29,IE,1603655045
Saint-Ambroise,48.55,-71.33,37.4,40,20,17.22,CA,1603655139
High Rock,26.62,-78.28,80.6,88,90,11.41,BS,1603655140
Senanga,-16.12,23.27,79.97,18,46,8.61,ZM,1603655140
Kayan,16.91,96.56,78.8,88,100,3.36,MM,1603655140
Linjiang,41.81,126.91,35.06,84,2,1.39,CN,1603655140
Udachny,66.42,112.4,-4.0,91,0,2.24,RU,1603655140
Kenscoff,18.45,-72.29,91.4,52,40,23.04,HT,1603655141
Berezovyy,51.67,135.7,32.29,94,0,3.11,RU,1603655141
Geraldton,-28.77,114.6,62.6,88,0,6.93,AU,1603655141
Alanya,36.54,32.0,64.4,59,0,5.82,TR,1603655141
Hornepayne,49.21,-84.77,30.36,85,100,5.57,CA,1603655142
Bengkulu,-3.8,102.27,74.93,89,100,4.18,ID,1603654989
Antalaha,-14.9,50.28,70.25,83,1,6.98,MG,1603655142
Carroll,39.55,-77.02,45.0,93,100,6.55,US,1603655142
Kudahuvadhoo,2.67,72.89,82.15,78,80,9.71,MV,1603655142
Santiago del Estero,-27.8,-64.26,95.02,34,47,18.01,AR,1603655143
Tuktoyaktuk,69.45,-133.04,23.0,92,90,23.04,CA,1603655143
El Salvador,13.83,-88.92,84.2,69,40,2.24,SV,1603655143
Karratha,-20.74,116.85,64.69,91,100,12.66,AU,1603655143
Ilulissat,69.22,-51.1,15.8,52,43,6.93,GL,1603655105
Zhigansk,66.77,123.37,-1.91,88,0,5.23,RU,1603655144
Klaksvík,62.23,-6.59,44.6,87,0,8.05,FO,1603655144
Irgakly,44.36,44.76,58.89,62,67,6.24,RU,1603655144
Baykit,61.67,96.37,11.66,92,56,1.21,RU,1603655145
São Félix do Xingu,-6.64,-51.99,92.14,43,100,2.73,BR,1603655145
Ouanaminthe,19.55,-71.73,86.0,62,75,8.05,HT,1603655145
Shimanovsk,52.0,127.7,30.99,94,20,2.64,RU,1603655145
‘Āhuimanu,21.44,-157.84,82.99,78,90,4.7,US,1603655145
Micheweni,-4.97,39.83,78.13,83,1,8.23,TZ,1603655101
Donskoye,45.46,41.97,55.4,87,0,2.24,RU,1603655129
Ukiah,39.15,-123.21,55.99,71,40,4.0,US,1603654951
Lavrentiya,65.58,-171.0,33.26,91,95,8.99,RU,1603655146
Tessalit,20.2,1.01,82.18,14,0,9.93,ML,1603655146
Tucumcari,35.17,-103.72,39.2,64,90,18.34,US,1603655147
Buala,-8.14,159.59,80.06,77,99,1.61,SB,1603655147
Nyurba,63.28,118.33,19.17,91,100,9.46,RU,1603655147
Torbay,47.67,-52.73,45.0,93,90,24.16,CA,1603655148
Ust'-Uda,54.17,103.03,23.11,92,0,4.97,RU,1603655148
Lüderitz,-26.65,15.16,66.2,50,71,24.94,NA,1603655148
Rincon,32.3,-81.24,84.99,62,75,4.7,US,1603655148
Ancud,-41.87,-73.82,57.0,54,75,16.11,CL,1603655149
Kasamwa,-2.85,32.43,70.29,75,11,2.68,TZ,1603655149
Kayerkan,69.35,87.76,10.4,85,75,13.42,RU,1603655149
Gararu,-9.97,-37.08,86.38,56,30,18.48,BR,1603655149
Safi,32.3,-9.24,65.46,73,0,12.91,MA,1603655149
Fortuna,40.6,-124.16,57.0,76,75,5.82,US,1603655074
Cururupu,-1.83,-44.87,84.52,64,35,6.67,BR,1603655150
