City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Elizabeth City,36.29,-76.25,68.0,94,90,17.22,US,1603655150
Arlit,18.74,7.39,82.56,14,0,16.08,NE,1603655098
Stornoway,58.21,-6.39,50.0,93,86,24.16,GB,1603655151
Aklavik,68.22,-135.01,24.8,79,75,23.04,CA,1603655151
Koumac,-20.57,164.28,75.27,71,0,4.05,NC,1603655151
Medicine Hat,50.05,-110.67,18.0,61,20,13.87,CA,1603655215
Muli,2.92,73.57,81.93,80,94,10.16,MV,1603655152
Broome,42.25,-75.83,52.0,52,71,1.01,US,1603655152
Kenai,60.55,-151.26,39.2,86,90,16.11,US,1603655023
Khani,41.96,42.96,53.6,76,0,4.7,GE,1603655152
Grevená,40.08,21.43,51.8,62,0,4.7,GR,1603655153
Wajima,37.4,136.9,60.89,66,67,13.15,JP,1603655153
Alugan,12.22,125.48,79.75,85,100,16.02,PH,1603655125
Sarangani,5.4,125.46,82.94,76,100,13.87,PH,1603655153
Mossendjo,-2.95,12.73,71.53,98,100,4.7,CG,1603654994
Arroyo de la Encomienda,41.61,-4.8,48.0,81,40,16.11,ES,1603655154
Margate,51.38,1.39,51.01,66,94,4.0,GB,1603655024
Būlaevo,54.91,70.44,37.17,95,99,6.38,KZ,1603655154
Gimry,42.76,46.84,66.2,34,0,13.42,RU,1603655155
Shellbrook,53.22,-106.4,26.6,53,90,11.41,CA,1603655155
Sindor,62.86,51.89,24.91,99,99,2.35,RU,1603655155
Andenes,69.31,16.12,41.0,75,75,21.92,NO,1603655156
Prince Rupert,54.32,-130.32,41.0,48,90,5.82,CA,1603655150
Namatanai,-3.67,152.43,79.2,82,97,2.71,PG,1603655156
Kaitangata,-46.28,169.85,48.99,97,100,1.99,NZ,1603655156
Bathsheba,13.22,-59.52,87.8,66,40,18.34,BB,1603655156
Sobolevo,54.43,31.9,46.18,87,81,4.47,RU,1603655157
Cabinda,-5.55,12.2,77.32,83,93,9.42,AO,1603655157
Esperance,-33.87,121.9,53.6,71,0,17.22,AU,1603655157
Buraidah,26.33,43.98,71.6,19,0,3.36,SA,1603655157
Datong,40.09,113.29,50.31,60,46,2.08,CN,1603655158
Tefé,-3.35,-64.71,91.4,59,40,3.36,BR,1603655158
Taoudenni,22.68,-3.98,88.47,12,0,7.29,ML,1603655158
Hambantota,6.12,81.12,80.6,83,0,5.82,LK,1603655221
San Ramon,37.78,-121.98,66.2,55,90,5.82,US,1603655072
Ulaangom,49.98,92.07,26.1,74,100,5.17,MN,1603655222
Ulladulla,-35.35,150.47,55.99,76,75,13.87,AU,1603655222
Nabire,-3.37,135.48,75.09,87,93,3.47,ID,1603655222
Hokitika,-42.72,170.97,59.27,96,100,14.88,NZ,1603655222
Talcahuano,-36.72,-73.12,60.8,51,0,14.99,CL,1603655222
Katsuura,35.13,140.3,57.2,67,0,6.93,JP,1603654928
Saskylakh,71.92,114.08,8.87,93,100,12.17,RU,1603655223
Kinkala,-4.36,14.76,74.79,86,100,3.18,CG,1603655223
Maceió,-9.67,-35.74,82.4,74,0,11.41,BR,1603655223
Rawson,-43.3,-65.1,67.06,25,14,23.2,AR,1603655132
Qasigiannguit,68.82,-51.19,15.8,52,54,6.93,GL,1603655224
Puerto Colombia,10.99,-74.95,87.8,66,75,2.24,CO,1603655054
Palu,-0.89,119.87,76.15,81,99,2.59,ID,1603655224
Kaabong,3.48,34.15,71.42,57,84,12.3,UG,1603655225
Umluj,25.02,37.27,79.61,58,0,5.55,SA,1603655225
Broken Hill,-31.95,141.43,41.0,80,0,4.7,AU,1603655225
Amapá,1.0,-52.0,91.78,43,27,3.31,BR,1603655042
Sistranda,63.73,8.83,46.4,87,0,13.87,NO,1603655225
Akureyri,65.68,-18.09,42.8,81,75,9.17,IS,1603655226
Novobirilyussy,56.95,90.67,28.09,81,100,4.94,RU,1603655226
Cap Malheureux,-19.98,57.61,70.0,90,39,5.99,MU,1603655226
Alyangula,-13.85,136.42,80.6,88,75,4.7,AU,1603655226
Shahr-e Bābak,30.12,55.12,46.98,47,0,4.61,IR,1603655227
Isiro,2.77,27.62,68.38,99,100,2.68,CD,1603655227
Dakar,14.69,-17.44,84.2,83,84,2.24,SN,1603654980
Upington,-28.45,21.26,78.8,12,0,8.05,ZA,1603655227
Kibala,9.11,18.35,78.84,46,45,2.64,TD,1603655228
Port Lincoln,-34.73,135.87,51.84,63,60,15.88,AU,1603655228
Okha,53.57,142.95,39.67,91,100,20.45,RU,1603655228
Pāsighāt,28.07,95.33,70.65,81,3,2.55,IN,1603655228
Chapais,49.78,-74.85,28.4,68,75,8.05,CA,1603655076
Kolosovka,56.47,73.61,35.46,97,100,7.27,RU,1603655229
Libreville,0.39,9.45,80.6,78,75,9.17,GA,1603655020
Hachinohe,40.5,141.5,50.0,66,40,10.29,JP,1603655229
Tilichiki,60.47,166.1,30.45,97,100,6.58,RU,1603655229
Pandan,14.05,124.17,79.07,86,100,20.89,PH,1603655230
Kavaratti,10.57,72.64,81.54,77,100,8.59,IN,1603655230
Kostomuksha,64.57,30.58,28.51,98,88,4.81,RU,1603655230
Kalanguy,51.02,116.52,30.2,92,100,2.3,RU,1603655230
Flagstaff,35.2,-111.65,61.0,47,40,23.04,US,1603655209
Mosquera,4.71,-74.23,64.4,63,75,9.17,CO,1603655231
Tsiroanomandidy,-18.77,46.03,72.79,53,38,5.79,MG,1603655231
Piltene,57.22,21.67,51.8,93,0,9.17,LV,1603655231
Dingle,11.0,122.67,75.29,92,100,18.3,PH,1603655231
Bilāspur,22.08,82.15,69.66,61,0,2.64,IN,1603655232
Yinchuan,38.47,106.27,49.98,43,0,2.93,CN,1603655232
Meulaboh,4.14,96.13,76.24,82,100,3.53,ID,1603655057
Quatre Cocos,-20.21,57.76,75.2,73,75,14.99,MU,1603655233
Jalingo,8.88,11.37,79.3,67,38,2.53,NG,1603655233
Clyde River,70.47,-68.59,15.8,78,20,8.05,CA,1603655233
Nkhotakota,-12.93,34.3,77.72,67,0,2.77,MW,1603655234
Khonsa,27.02,95.57,62.98,88,0,3.4,IN,1603655234
Lorengau,-2.02,147.27,81.81,75,100,4.38,PG,1603654998
Dehlorān,32.69,47.27,69.94,22,0,3.56,IR,1603655234
Santa Catalina,9.33,122.86,77.49,87,100,14.5,PH,1603655234
Manadhoo,5.77,73.38,80.67,78,100,10.71,MV,1603655235
Salinópolis,-0.61,-47.36,83.5,71,59,11.83,BR,1603655235
Osa,57.28,55.46,32.58,95,100,3.96,RU,1603655235
Springfield,37.22,-93.3,48.99,75,90,5.82,US,1603655083
Lillesand,58.25,8.38,52.0,93,40,6.93,NO,1603655236
San Carlos del Zulia,9.0,-71.91,88.61,60,100,3.11,VE,1603655236
Hauterive,46.09,3.45,53.6,81,100,9.17,FR,1603655236
Sept-Îles,50.2,-66.38,37.99,43,75,11.41,CA,1603655042
Molteno,-31.4,26.36,57.24,78,66,12.62,ZA,1603655237
Casablanca,33.59,-7.62,64.4,68,20,4.7,MA,1603655097
Port-Gentil,-0.72,8.78,80.6,78,75,11.41,GA,1603655095
Kuah,6.33,99.84,80.6,88,20,2.24,MY,1603655237
Shakawe,-18.37,21.85,80.91,21,43,6.11,BW,1603655237
Jingdezhen,29.29,117.21,60.39,71,97,2.21,CN,1603655238
Vilhena,-12.74,-60.15,87.49,48,94,3.78,BR,1603655238
Balkanabat,39.51,54.37,59.9,34,0,1.34,TM,1603655238
Provideniya,64.38,-173.3,33.21,91,100,3.65,RU,1603655238
Shahrud,36.42,54.98,54.16,41,0,2.39,IR,1603655239
Pāvilosta,56.89,21.19,53.6,87,93,8.05,LV,1603655239
Sterling,39.01,-77.43,46.99,87,90,6.93,US,1603655239
Samur,41.83,48.49,63.34,46,21,4.07,RU,1603655239
Hingoli,19.72,77.15,73.99,79,82,2.95,IN,1603655240
Salamanca,40.83,-6.0,46.0,87,0,11.41,ES,1603655240
Shudayag,63.53,53.61,22.33,98,81,0.92,RU,1603655240
Agadez,19.75,10.25,73.9,20,0,8.23,NE,1603655240
Longyearbyen,78.22,15.64,32.0,92,75,10.29,SJ,1603655241
Laguna,38.42,-121.42,64.99,63,20,9.17,US,1603655074
Talnakh,69.49,88.4,10.4,85,75,13.42,RU,1603655241
Salé,34.04,-6.82,64.0,82,40,5.84,MA,1603655146
Yulara,-25.24,130.99,62.6,33,71,12.75,AU,1603655241
Taksimo,56.34,114.88,27.99,96,100,2.57,RU,1603655242
Bennettsville,34.62,-79.68,68.0,94,90,9.17,US,1603654946
Moerai,-22.43,-151.33,72.41,79,52,21.97,PF,1603655242
San Patricio,28.02,-97.52,84.99,69,75,14.99,US,1603655242
Atambua,-9.11,124.89,75.88,86,100,3.02,ID,1603655242
Valparai,10.37,76.97,77.0,94,40,2.24,IN,1603655243
Bogorodskoye,56.55,37.88,43.29,93,97,7.14,RU,1603655243
Camacupa,-12.02,17.48,69.93,56,55,3.49,AO,1603655243
Guerrero Negro,27.98,-114.06,72.75,59,50,16.89,MX,1603655243
Kuybyshevo,47.81,38.91,51.96,77,100,8.37,RU,1603655244
Nizhniy Odes,63.64,54.86,21.52,98,90,0.49,RU,1603655244
São Gabriel da Cachoeira,-0.13,-67.09,89.49,61,100,0.36,BR,1603655244
Rio Grande,-32.03,-52.1,75.99,80,30,8.99,BR,1603655244
Mount Isa,-20.73,139.5,69.8,32,100,13.87,AU,1603655245
Muncar,-8.43,114.33,76.3,89,53,1.9,ID,1603655245
Luoyang,34.68,112.45,63.0,99,100,2.8,CN,1603655245
Aquidauana,-20.47,-55.79,98.28,35,34,5.28,BR,1603655246
Borgarnes,64.54,-21.92,41.0,80,75,2.24,IS,1603655246
Nanortalik,60.14,-45.24,35.49,84,100,16.49,GL,1603655246
Westport,41.14,-73.36,53.01,50,1,6.93,US,1603655121
Gushikawa,26.35,127.87,71.6,88,1,4.7,JP,1603655247
Trofors,65.53,13.41,37.4,93,75,2.24,NO,1603655247
Evensk,61.95,159.23,32.4,92,100,14.25,RU,1603655247
Marawi,8.0,124.29,73.99,92,100,4.0,PH,1603655247
Yamethin,20.43,96.15,73.35,85,52,2.46,MM,1603655248
Mangai,-4.05,19.53,72.0,98,98,1.92,CD,1603655248
Dunedin,-45.87,170.5,46.99,89,100,7.09,NZ,1603655116
Road Town,18.42,-64.62,84.99,81,40,21.0,VG,1603655152
Tamorong,17.33,120.43,79.61,77,100,11.54,PH,1603655249
Wuwei,37.93,102.64,40.24,65,0,0.69,CN,1603655249
Cabedelo,-6.98,-34.83,80.6,78,40,11.41,BR,1603655249
Hue,16.47,107.6,69.8,100,40,1.12,VN,1603655250
Traralgon,-38.18,146.53,46.99,88,83,6.13,AU,1603655250
Kyren,51.68,102.14,20.62,90,96,0.56,RU,1603655250
Mahébourg,-20.41,57.7,75.2,73,75,14.99,MU,1603655251
Makokou,0.57,12.86,72.1,96,100,3.87,GA,1603655251
Japura,-0.32,102.35,72.81,85,100,2.48,ID,1603655081
Swellendam,-34.02,20.44,64.4,68,100,4.7,ZA,1603655251
Leh,34.17,77.58,27.91,87,99,2.37,IN,1603655252
Bitkine,11.98,18.21,82.09,21,55,6.91,TD,1603655252
Durrës,41.32,19.44,51.8,93,0,4.7,AL,1603655252
Manoel Urbano,-8.84,-69.26,91.49,47,88,5.91,BR,1603655252
Hobyo,5.35,48.53,79.86,81,0,10.58,SO,1603655253
Tura,25.52,90.22,69.04,95,0,2.04,IN,1603655253
Gawler,-34.6,138.73,48.0,73,12,1.01,AU,1603655253
Paamiut,61.99,-49.67,34.63,95,95,24.43,GL,1603655056
Puerto Baquerizo Moreno,-0.9,-89.6,73.4,73,75,10.29,EC,1603655253
Juneau,58.3,-134.42,39.2,51,90,12.75,US,1603655082
Shimoda,34.67,138.95,60.96,61,100,6.93,JP,1603655254
Tortolì,39.93,9.66,62.6,55,5,14.99,IT,1603655254
San Quintín,30.48,-115.95,70.07,60,63,12.06,MX,1603655254
Sawākin,19.11,37.33,83.14,74,17,1.48,SD,1603655255
Tigre,-34.43,-58.58,73.0,88,75,3.36,AR,1603655255
Mehamn,71.04,27.85,33.8,74,0,12.75,NO,1603655255
Cizre,37.33,42.19,66.51,25,100,2.39,TR,1603655255
Liverpool,53.41,-2.98,48.2,81,0,8.05,GB,1603655255
Oytal,42.91,73.27,46.85,51,41,4.7,KZ,1603655256
Casper,42.87,-106.31,9.0,71,90,16.11,US,1603655151
Comodoro Rivadavia,-45.87,-67.5,68.0,31,40,20.8,AR,1603655079
Yangi Marg`ilon,40.43,71.72,48.2,53,0,4.7,UZ,1603655256
Bugene,-1.59,31.14,63.54,80,18,2.26,TZ,1603655256
Homer,59.64,-151.55,46.99,81,90,8.05,US,1603655257
Asău,46.43,26.4,53.01,98,100,2.33,RO,1603655257
Katherine,-14.47,132.27,78.8,74,40,5.82,AU,1603655257
Mazamari,-11.33,-74.53,91.76,38,90,3.22,PE,1603655257
Maragogi,-9.01,-35.22,78.06,80,8,10.69,BR,1603655027
Manitowoc,44.07,-87.8,39.2,60,90,3.36,US,1603655258
Xiaoweizhai,26.19,107.51,61.83,89,100,2.06,CN,1603655258
Brønnøysund,65.46,12.2,46.4,87,90,14.99,NO,1603655258
Mason City,43.15,-93.2,28.99,92,90,9.17,US,1603655258
Mount Gambier,-37.83,140.77,41.0,86,40,8.05,AU,1603655107
Esil,51.96,66.4,48.67,73,100,13.38,KZ,1603655259
Bogandé,12.97,-0.14,85.05,18,78,6.82,BF,1603655259
La Santisima Trinidad,-14.83,-64.9,98.6,47,40,18.34,BO,1603655259
Vila Franca do Campo,37.72,-25.43,62.6,72,20,3.36,PT,1603655260
Nizāmābād,18.67,78.12,72.07,76,28,2.28,IN,1603655260
Severo-Kuril'sk,50.68,156.12,43.74,84,93,5.48,RU,1603655260
Nizwá,22.93,57.53,65.75,32,0,2.19,OM,1603655260
Ternate,0.8,127.4,80.46,76,92,3.71,ID,1603655079
Fasa,28.94,53.65,55.4,28,0,2.46,IR,1603655261
Sulzbach-Rosenberg,49.5,11.75,50.0,87,40,3.94,DE,1603655261
Vitry-le-François,48.73,4.58,51.8,93,90,8.05,FR,1603655261
Santa Isabel Rio Negro,-0.41,-65.02,81.39,81,100,4.65,BR,1603655262
Seda,57.65,25.75,46.99,95,73,1.99,LV,1603655262
Olafsvik,64.89,-23.71,42.75,82,100,27.51,IS,1603655262
San Cristobal,7.77,-72.22,86.0,58,40,11.41,VE,1603655262
Nouakchott,18.09,-15.98,96.8,11,0,9.17,MR,1603655262
Dix Hills,40.8,-73.34,53.01,57,20,9.17,US,1603655263
Payo,-3.75,103.64,73.27,96,100,2.55,ID,1603655263
Palmer,42.16,-72.33,53.01,46,75,10.29,US,1603655263
Schkeuditz,51.4,12.22,57.0,76,0,8.05,DE,1603655264
Zavetnoye,47.12,43.89,52.75,70,71,8.72,RU,1603655264
Kloulklubed,7.04,134.26,75.2,94,75,3.42,PW,1603655094
Angul,20.85,85.1,72.64,68,33,1.77,IN,1603655264
Oktyabr'skoye,43.06,44.74,44.6,70,30,6.71,RU,1603655264
Darnah,32.77,22.64,72.34,75,18,13.06,LY,1603655265
Dudinka,69.41,86.18,10.4,85,75,13.42,RU,1603655265
Gravelbourg,49.88,-106.55,16.81,91,41,11.43,CA,1603655265
Letlhakane,-21.42,25.58,82.53,20,100,13.04,BW,1603655265
Oktyabr'skiy,54.48,53.47,42.91,89,100,7.0,RU,1603655266
Kouango,4.99,19.96,73.89,91,99,1.14,CF,1603655266
Gornopravdinsk,60.05,69.9,30.56,99,99,6.31,RU,1603655266
Russell,32.35,-85.2,77.0,69,90,3.36,US,1603655127
Mora,11.05,14.14,82.44,23,83,4.74,CM,1603655267
Kidal,18.44,1.41,81.0,13,0,10.16,ML,1603655267
Pisco,-13.7,-76.22,69.8,68,0,17.22,PE,1603655267
Coyhaique,-45.58,-72.07,51.8,57,75,5.82,CL,1603655044
Kaiyuan,23.7,103.3,58.48,75,19,1.12,CN,1603655268
Bow Island,49.87,-111.37,17.01,61,20,13.87,CA,1603655268
Pokhara,28.23,83.98,64.83,26,0,5.39,NP,1603655268
Lipin Bor,60.26,37.98,36.0,84,71,8.68,RU,1603655268
Myaundzha,63.05,147.19,11.68,92,100,4.72,RU,1603655269
Aripuanã,-9.17,-60.63,90.16,50,79,2.24,BR,1603655269
Challapata,-18.9,-66.77,63.64,25,11,6.22,BO,1603655269
Mentakab,3.49,102.35,74.32,92,100,1.79,MY,1603655269
‘Ewa Beach,21.32,-158.01,82.4,69,1,3.36,US,1603655270
Acapulco de Juárez,16.86,-99.89,87.8,79,40,5.82,MX,1603655270
Lafiagi,8.87,5.42,81.45,52,86,1.16,NG,1603655270
Kharan,28.58,65.42,57.9,31,0,5.41,PK,1603655270
Saint-Augustin,51.23,-58.65,36.5,72,0,16.8,CA,1603655270
Vetlanda,57.43,15.08,52.0,100,100,9.17,SE,1603655271
Natal,-5.79,-35.21,84.2,70,40,16.11,BR,1603655061
Jalu,29.03,21.55,65.75,48,0,3.94,LY,1603655271
Baharly,38.44,57.43,61.77,29,0,5.61,TM,1603655271
Los Llanos de Aridane,28.66,-17.92,71.6,64,40,11.41,ES,1603655271
Sainte-Suzanne,-20.91,55.61,73.4,69,40,18.34,RE,1603655272
Usinsk,65.99,57.53,21.88,98,95,7.47,RU,1603655272
Solginskiy,61.05,41.34,29.41,97,65,6.15,RU,1603655272
Aguçadoura,41.43,-8.78,53.6,93,40,17.58,PT,1603655272
Semporna,4.48,118.61,75.2,94,20,2.24,MY,1603655272
North Platte,41.12,-100.77,24.8,68,90,13.87,US,1603655273
Ginir,7.13,40.7,57.02,90,0,4.34,ET,1603655273
Morondava,-20.28,44.28,77.47,66,0,5.44,MG,1603655273
Brae,60.4,-1.35,50.0,81,40,17.22,GB,1603655273
Loíza,18.43,-65.88,87.8,70,40,18.34,PR,1603655001
Bushehr,28.97,50.84,77.0,57,0,3.47,IR,1603655274
Djibo,14.1,-1.63,87.35,12,0,8.55,BF,1603655274
Springdale,36.19,-94.13,52.0,81,90,6.93,US,1603655154
Ibrā’,22.69,58.53,64.11,61,0,3.15,OM,1603655274
Kathu,7.92,98.33,82.99,94,75,9.8,TH,1603655275
Araouane,18.9,-3.53,90.1,11,0,6.51,ML,1603655275
Veracruz,19.33,-96.67,89.6,55,40,4.7,MX,1603655275
Ostrovnoy,68.05,39.51,32.05,93,99,7.4,RU,1603655275
Mbeya,-8.9,33.45,63.99,68,44,5.99,TZ,1603655275
Bartica,6.4,-58.62,82.4,83,40,4.7,GY,1603655276
Vega de Alatorre,20.03,-96.63,83.39,65,41,6.64,MX,1603655276
Rocha,-34.48,-54.33,74.73,77,100,13.31,UY,1603655276
Arsk,56.09,49.88,33.8,74,20,8.95,RU,1603655276
Aykhal,66.0,111.5,-4.0,91,0,2.24,RU,1603655276
Crib Point,-38.35,145.2,50.0,80,22,22.82,AU,1603655277
Shitanjing,39.23,106.34,43.34,55,0,9.93,CN,1603655097
Wattegama,6.8,81.48,80.6,83,0,5.82,LK,1603655277
Changping,40.22,116.22,61.0,87,100,2.24,CN,1603655277
Mapastepec,15.43,-92.9,87.46,65,46,4.12,MX,1603655277
Faya,18.39,42.45,64.4,67,0,9.17,SA,1603655110
